sku,qty,ref,val,vendor
A-525,20,C1 C3 ,33p,tayda
A-531,10,C14 ,100p,tayda
A-1341,40,C18 C19 C20 C21 ,10p,tayda
A-4008,130,C2 C5 C6 C7 C8 C9 C10 C11 C12 C13 C15 C16 C17 ,0.1u,tayda
A-3931,10,C4 ,10u,tayda
A-615,10,D1 ,1n914,tayda
A-4118,10,J1 ,Barrel_Jack,tayda
A-111,10,Q1 ,2N3904,tayda
A-2193,30,R1 R5 R8 ,75,tayda
A-2281,10,R12 ,680,tayda
A-2327,10,R15 ,12k,tayda
A-2207,20,R17 R18 ,18k,tayda
A-2284,20,R19 R20 ,22k,tayda
A-2277,20,R2 R4 ,1m,tayda
A-2338,20,R23 R24 ,82k,tayda
A-2203,50,R10 R13 R14 R25 R26 ,10k,tayda
A-2626,40,R27 R28 R29 R30 ,2.7k,tayda
A-2188,10,R3 ,5.1k,tayda
A-2202,30,R16 R33 R35 ,1.5k,tayda
A-2607,20,R34 R36 ,3.3k,tayda
A-2245,10,R6 ,100,tayda
A-2200,40,R7 R11 R31 R32 ,1k,tayda
A-2192,10,R9 ,680k,tayda
A-1872,10,RV1 ,20k_pot,tayda
A-5531,60,RV2 RV3 RV4 RV5 RV6 RV7 ,10k_pot,tayda
A-1870,20,RV8 RV9 ,5k_pot,tayda
A-659,20,SW1 SW2 ,SPDT_slide,tayda
A-4567,20,SW3 SW4 ,SPDT,tayda
A-4568,10,SW5 ,SW_DPDT_x2,tayda
A-882,10,U1 ,CD4069,tayda
A-177,10,U2 ,LM317,tayda
A-1151,10,U3 ,CD4053,tayda
A-556,10,U4 ,CD4013,tayda
A-023,10,U8 ,LM393,tayda
A-238,10,Y1 ,3.57Mhz_crystal,tayda
